RSSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Leaf,-93.2347817,-93.4640654,-93.4927081,-93.5081811,-93.5222985,-93.5103771,-93.4517145,-93.4192834,-93.3949742,-93.3537476,-93.3912429,-93.4348386,-93.4911451,-93.6021348,-93.7083405,-93.8558599,-94.0328161,-94.2347098,-94.5025582,-94.8011903,-95.1223521,-94.3051898,-93.4360742,-92.6352061,-91.8315465,-90.9990347,-90.1173795,-89.1689803,-88.2008556,-87.2224168,-86.2902376,-85.4986238,-84.9316186,-84.596753,-84.5088258,-84.6361982,-85.0090143,-85.6076875,-86.3641688,-87.0594633,-87.9806965,-88.1592932,-88.1614963,-88.2711613,-88.3929146,-88.5191869,-88.6794367,-88.7862862,-88.9190557,-89.1044488,-89.2674335,-89.4673675,-89.6934894,-89.9456078,-90.1925943,-90.4776301,-90.8078322,-91.1899303,-91.5854455,-92.0386976,-92.52001,-91.6687314,-90.8039237,-90.0062813,-89.2621232,-88.5094203,-87.7427519,-86.956346,-86.0874474,-85.2332142,-84.3729535,-83.5534348,-82.8116879,-82.2044215,-81.7087075,-81.3841224,-81.2023718,-81.1905432,-81.3925146,-81.7822569,-82.4180525,-82.9254025,-83.4622256,-83.9586375,-84.486891,-84.9645387,-85.3900134,-85.7855655,-86.1688464,-86.4789701,-86.7532231,-87.0364054,-87.2888271,-87.4812134,-87.6258076,-87.8277057,-87.9478273,-88.0952156,-88.1986923,-88.3413491, 
Half_Circle,-93.4010354,-93.264293,-93.1252063,-93.0049719,-92.9283498,-92.8439136,-92.7790027,-92.7478622,-92.7065047,-92.6949977,-92.672217,-92.673628,-92.683123,-92.6704568,-92.6755189,-92.7119853,-92.7183794,-92.7202308,-92.7397677,-92.7527339,-92.7501663,-92.7530581,-92.7345292,-92.7645717,-92.7701826,-92.7676203,-92.7670376,-92.7659436,-92.7880768,-92.7825417,-92.782041,-92.7671716,-92.7686657,-92.7651378,-92.7739906,-92.7621245,-92.7674971,-92.7765285,-92.7563211,-92.7724717,-92.768385,-92.7620747,-92.7637881,-92.7468394,-92.7795464,-92.7814693,-92.7816398,-92.7688266,-92.7493083,-92.7557031,-92.7629442,-92.7531471,-92.7817068,-92.7956219,-92.7776494,-92.7993661,-92.7938335,-92.8041192,-92.8174088,-92.8167015,-92.8115618,-92.8339439,-92.82852,-92.8576216,-92.8538059,-92.8794458,-92.8618299,-92.8918399,-92.9103325,-92.9491004,-92.9578625,-92.9732829,-92.9841924,-92.9700081,-92.9861353,-92.996613,-92.9853728,-93.0228026,-93.0309852,-93.0303731,-93.036789,-93.0664086,-93.0657758,-93.0851404,-93.0673268,-93.0856212,-93.1194572,-93.1307066,-93.1082903,-93.1554869,-93.1661001,-93.1771112,-93.1762709,-93.1922923,-93.1983492,-93.2058971,-93.2250846,-93.2171874,-93.244684,-93.2439353,
Linear,-93.432811,-92.8059779,-92.266221,-91.7247583,-91.1956745,-90.5464531,-89.9139074,-89.3789563,-89.0342798,-88.7904174,-88.4905544,-88.0665432,-87.6338105,-86.9908419,-86.3111702,-85.5397081,-84.7677681,-83.9275135,-83.0041002,-82.0019101,-80.9670035,-79.9070973,-78.8196525,-77.8440269,-76.9324983,-76.0385728,-75.2877554,-74.5369152,-73.8211024,-73.0735813,-72.3464328,-71.6657856,-71.047788,-70.438405,-69.86128,-69.2457798,-68.6571396,-68.1278327,-67.6359062,-67.1581093,-66.7148571,-66.3232461,-65.9827785,-65.6549598,-65.3559581,-65.061369,-64.7823723,-64.515219,-64.238058,-64.0641998,-63.9122678,-63.7609139,-63.6128907,-63.4598115,-63.343008,-63.2602522,-63.1546691,-63.056181,-62.9651299,-62.8890122,-62.8459459,-62.8448235,-62.8106055,-62.788672,-62.7602532,-62.7323727,-62.6845549,-62.6583942,-62.6248252,-62.6010892,-62.5801949,-62.5678388,-62.5363433,-62.531802,-62.5378633,-62.5203385,-62.5033688,-62.5089343,-62.4853965,-62.4708941,-62.4518996,-62.4277563,-62.4115541,-62.4154031,-62.4227669,-62.4202908,-62.4108793,-62.4091748,-62.4262,-62.4272032,-62.4057789,-62.3739366,-62.3579346,-62.3509656,-62.3678474,-62.3599213,-62.3436078,-62.3205624,-62.316871,-62.3516097,
Linear(Region_Target),-93.4929167,-92.8799141,-92.2873,-91.869628,-91.2225985,-90.6287242,-89.8597896,-89.2351217,-88.751949,-88.3170318,-87.8852646,-87.2634872,-87.5316346,-87.5193145,-87.6341378,-87.6398,-87.6760239,-87.6777893,-87.7046497,-87.6609763,-87.6182396,-87.6469282,-87.1411128,-87.6287155,-87.3746912,-86.9744035,-86.5178191,-86.0149016,-85.554519,-85.1989732,-84.7614516,-84.3834392,-83.9769069,-83.1669016,-83.5039488,-83.0351469,-82.6067826,-82.1836219,-81.7375573,-81.280788,-80.9693231,-80.4740557,-79.9633491,-79.3093744,-78.6073115,-78.7272726,-78.255652,-77.8143548,-77.4521529,-76.9689268,-76.6575589,-76.3763885,-75.9715016,-75.5970567,-75.1578495,-74.7238682,-74.8832085,-74.566146,-74.1375219,-73.657482,-73.1705846,-72.8695388,-72.4687254,-72.0581163,-71.7639166,-71.1987055,-70.8280467,-70.9566137,-70.5517219,-70.1833671,-69.9062152,-69.4929643,-69.187974,-69.0317449,-68.7005088,-68.4430126,-68.086074,-67.7063416,-67.582292,-67.2034802,-66.9262762,-66.6059311,-66.251627,-65.8690717,-65.5793684,-65.2506664,-65.003781,-64.7579086,-64.464089,-64.4908,-64.2018848,-64.1871313,-63.9146263,-63.6782658,-63.4453559,-63.0995844,-62.8943193,-62.690924,-62.4560176,-62.0785345,
Random,-93.4529069,-92.6857626,-92.197943,-91.7574868,-91.3527571,-90.9950502,-90.6847358,-90.4538422,-90.2696619,-90.1380995,-90.0429112,-90.0317244,-89.9688774,-89.9401797,-89.8942179,-89.8097444,-89.7396633,-89.6994213,-89.5810388,-89.4316416,-89.3296134,-89.2016973,-89.0755875,-88.9602209,-88.8632311,-88.751076,-88.6481889,-88.5626223,-88.4503274,-88.3421645,-88.202792,-88.1150298,-88.0252341,-87.9580089,-87.8471469,-87.744213,-87.6510189,-87.5625941,-87.4695731,-87.3423318,-87.2478792,-87.167602,-87.0730068,-86.9814843,-86.9049347,-86.8337625,-86.782158,-86.6977141,-86.6279594,-86.5711673,-86.4780846,-86.4026405,-86.3064994,-86.2335611,-86.179227,-86.1334601,-86.0590835,-86.0035486,-85.9347335,-85.9135679,-85.8709244,-85.8204015,-85.7852999,-85.7549327,-85.7081228,-85.6981764,-85.6647936,-85.6297083,-85.5815272,-85.5290016,-85.4698867,-85.4415913,-85.3779492,-85.3448068,-85.2997981,-85.2611111,-85.2214009,-85.1776565,-85.1137531,-85.0863789,-85.0590416,-84.9959193,-84.9324973,-84.89477,-84.8512767,-84.8134646,-84.7774497,-84.7586555,-84.7299779,-84.6753302,-84.6407744,-84.6183087,-84.5788515,-84.5678008,-84.5229546,-84.4838926,-84.4390776,-84.4119399,-84.369453,-84.3174933,
Log-Distance,-93.4195354,-92.7992902,-92.254602,-91.7686722,-91.2626757,-90.673834,-90.0296257,-89.5508859,-89.2627085,-88.9908472,-88.6555613,-88.2347641,-87.8106817,-87.1598693,-86.432807,-85.7538951,-85.0130998,-84.1744357,-83.2825464,-82.2913833,-81.2693439,-80.163326,-79.1195825,-78.1179802,-77.2532926,-76.4625539,-75.6704148,-74.975313,-74.24365,-73.4894676,-72.7686236,-72.0754128,-71.4286016,-70.7687756,-70.1348265,-69.5648325,-69.0280279,-68.4782819,-67.9857505,-67.4890987,-67.0091792,-66.5465486,-66.1360332,-65.8137758,-65.4949595,-65.1632894,-64.8442586,-64.563136,-64.3523553,-64.1656987,-63.9841606,-63.8046936,-63.671479,-63.5361167,-63.4344621,-63.3665318,-63.2565701,-63.1592368,-63.0837974,-63.0437542,-63.0071931,-62.9766358,-62.9433628,-62.915717,-62.8696082,-62.8300918,-62.8010784,-62.7699721,-62.7644764,-62.7670857,-62.7356064,-62.7189254,-62.68264,-62.6641296,-62.6580237,-62.6659863,-62.6738017,-62.649734,-62.6040477,-62.5911555,-62.5645275,-62.5455226,-62.5414155,-62.5331563,-62.5362126,-62.5294226,-62.517502,-62.5131107,-62.5062398,-62.4925688,-62.4784498,-62.4646176,-62.4446902,-62.4313948,-62.4177402,-62.424607,-62.4420093,-62.4506342,-62.453248,-62.4429458,
Target-Based,-93.2556909,-92.444454,-91.2900629,-89.9502315,-88.4055083,-86.5355471,-84.4334666,-82.0844463,-79.4119833,-76.9297265,-75.316908,-75.1368862,-75.6525981,-76.3789768,-77.0319611,-77.7253033,-78.1223202,-78.7966048,-79.1458153,-79.5685315,-79.7260703,-79.704386,-79.444373,-78.9351635,-78.3294611,-77.7616917,-77.1759829,-76.6994936,-76.1266909,-75.7935044,-75.3353964,-74.920025,-74.4150718,-73.931651,-73.4909328,-73.135154,-72.6897183,-72.243746,-71.7356873,-71.2701178,-70.8856856,-70.4541163,-70.0475196,-69.6749105,-69.2796042,-68.89729,-68.4846338,-68.1079043,-67.732427,-67.4605895,-67.1292029,-66.7259577,-66.4185585,-66.0829343,-65.7775936,-65.4914679,-65.1699111,-64.7704461,-64.4279051,-64.0843099,-63.7975745,-63.4693933,-63.196442,-62.8455818,-62.614205,-62.3424294,-62.0765056,-61.8449553,-61.5564091,-61.2702482,-61.0690862,-60.8151103,-60.5812903,-60.3062421,-60.0748828,-59.933925,-59.7030446,-59.4728206,-59.2382559,-59.0786561,-58.8855053,-58.7349966,-58.5800296,-58.4046291,-58.2391738,-58.0732413,-57.9257107,-57.7826296,-57.6135951,-57.4631326,-57.2987585,-57.1265075,-56.9586636,-56.8260141,-56.7311393,-56.6100589,-56.5063096,-56.3728604,-56.2854311,-56.1783609,
Target-Region_10m,-92.4021268,-92.4021268,-91.2609756,-89.9267255,-88.3639652,-86.4875393,-84.3948437,-82.0299214,-79.2866873,-76.7125007,-75.0099738,-73.8262419,-72.9530543,-72.2033374,-71.5842652,-71.190161,-70.9891091,-70.7931663,-70.3537842,-69.778578,-69.1435243,-68.6206104,-68.1531594,-67.6596632,-67.1534141,-66.6357349,-66.1663662,-65.7368435,-65.3536938,-64.986749,-64.6121757,-64.2771826,-63.9969872,-63.7642796,-63.5225048,-63.2836767,-63.088158,-62.9247216,-62.7928269,-62.6888453,-62.5827813,-62.4919035,-62.410528,-62.3507569,-62.329884,-62.3151598,-62.2920877,-62.2494603,-62.1941692,-62.1598498,-62.1509552,-62.1603814,-62.1579672,-62.1272351,-62.0993619,-62.0809916,-62.0863154,-62.1114649,-62.1235801,-62.0866259,-62.0420675,-62.0224058,-62.0188628,-62.0212698,-62.0194898,-62.0040294,-62.0024899,-62.009979,-62.0179908,-62.0095365,-61.9784808,-61.957902,-61.9624189,-61.9756413,-61.9789286,-61.9588207,-61.9327982,-61.9196464,-61.9408545,-61.9619321,-61.9589744,-61.9332843,-61.9058641,-61.8876214,-61.883498,-61.8965895,-61.9032719,-61.9070038,-61.9044299,-61.8954585,-61.8916559,-61.8784679,-61.8725889,-61.8694867,-61.871766,-61.8752041,-61.858286,-61.8424487,-61.8516525,-61.8662913,
Triangulation,-93.3829289,-92.4965469,-91.4539592,-90.3884197,-89.1728391,-87.7055745,-86.0979295,-84.951954,-84.0991907,-83.8561822,-83.5155683,-83.3701505,-83.2097715,-82.9342553,-82.8058938,-82.7646262,-82.6958842,-82.6404763,-82.4447339,-82.2714312,-82.1714315,-82.0346813,-81.7973646,-81.7051162,-81.6140082,-81.4640584,-81.4132111,-81.4340063,-81.3313419,-81.1184002,-80.9034025,-80.6984536,-80.5137183,-80.3481857,-80.2298633,-80.1217607,-79.9121704,-79.814814,-79.7196881,-79.5363716,-79.3120149,-79.2524845,-79.1362821,-79.0648694,-78.9774128,-78.9804808,-78.9287053,-78.7760246,-78.6015564,-78.5772966,-78.4150923,-78.2589578,-78.1946054,-78.0755591,-78.0319008,-78.0527672,-78.0213796,-77.9585516,-77.7766503,-77.7621195,-77.6456789,-77.5644337,-77.4523954,-77.4334739,-77.3172706,-77.3254741,-77.2411501,-77.3134631,-77.2453203,-77.0055472,-76.9310291,-76.8588846,-76.7340626,-76.7409895,-76.616778,-76.5713127,-76.4997492,-76.4161969,-76.3985849,-76.3714465,-76.1729561,-76.1739628,-76.0741708,-76.1436711,-76.0931665,-75.9900486,-75.9612514,-75.8563936,-75.700117,-75.68648,-75.6556986,-75.6249715,-75.4723437,,,,,,,,
