Distance between UAV & Signal (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Leaf,20,20,20,19.998999,19.9955344,19.9652999,19.8004871,19.5140622,19.221499,18.9857107,18.8197459,18.7114474,18.6529863,18.6330378,18.6454837,18.6842401,18.7409971,18.8049833,18.868546,18.9337096,19.0057549,19.0790081,18.94498,18.838513,18.7511687,18.6645699,18.4013719,17.8751215,17.1672264,16.4026528,15.6564047,15.0032471,14.5204213,14.2537522,14.2044853,14.3706291,14.6945985,15.1095105,15.550349,15.8756746,16.2505156,16.7792691,16.924624,17.0674355,17.2642763,17.4355366,17.4750998,17.37128,17.2319697,17.1420745,17.1080264,17.116678,17.1579073,17.2253958,17.3123112,17.4148755,17.533575,17.6645608,17.7889065,17.9317733,18.0778682,18.182689,17.9957774,17.8209826,17.7078272,17.5889576,17.3164712,16.7972018,16.1059188,15.3328535,14.5713263,13.8670694,13.2743317,12.8490038,12.5344277,12.29914,12.0502602,11.8606527,11.8237575,11.9716305,12.3264892,12.7551246,13.1333583,13.436498,13.7753235,14.0539844,14.3091398,14.5275024,14.7311198,14.8875312,15.0128139,15.1439376,15.2605066,15.3286159,15.4023074,15.4609627,15.5054373,15.5496172,15.5854804,15.6296105, 
Half_Circle,20,20,20,19.9997663,19.9997888,19.9996528,19.9982974,19.9983675,19.9974518,19.9961354,19.9939066,19.9943549,19.9937845,19.9921043,19.9924222,19.9899045,19.9884592,19.9852825,19.981967,19.9749776,19.965263,19.9546958,19.9379793,19.9172369,19.896993,19.8750091,19.8493841,19.825324,19.8016846,19.7796567,19.7617559,19.7417684,19.7244848,19.704198,19.6845865,19.6658714,19.6498847,19.6363361,19.6251553,19.6185574,19.6036219,19.5962499,19.5852528,19.5784485,19.5681469,19.5617356,19.5472785,19.5353481,19.5186093,19.5062769,19.4948219,19.4778836,19.4630758,19.4536775,19.4368163,19.4260002,19.4165316,19.4049854,19.394949,19.3865162,19.3788258,19.3745644,19.3723092,19.3648609,19.3618757,19.3580647,19.3549686,19.3544747,19.3560952,19.3529458,19.355694,19.3553684,19.3578264,19.3490084,19.341069,19.3325522,19.3253944,19.3146864,19.3119408,19.3066822,19.3027498,19.3008154,19.2952682,19.294524,19.2901421,19.2925485,19.2886246,19.2857782,19.2846454,19.286756,19.2877835,19.2860846,19.2875616,19.2852353,19.2840327,19.2816049,19.2804309,19.2800915,19.2784492,19.2750148,
Linear,20,20,19.99951,19.9962684,19.9856658,19.7496901,18.8090924,17.7572163,17.1107421,16.8207507,16.7688128,16.6850727,16.7008364,16.6528103,16.4456646,15.979075,15.3151256,14.5530431,13.8561931,13.1892489,12.5072865,11.5652452,10.4469586,9.4563218,8.5892289,7.853486,7.2645702,6.7439789,6.2906194,5.8525195,5.4287555,5.0045171,4.6344655,4.2979599,4.0244814,3.7109157,3.4116898,3.1600579,2.9502852,2.7666304,2.5764092,2.4242474,2.2892864,2.1613334,2.0708184,1.9656367,1.8864457,1.811177,1.7288178,1.6641353,1.6094472,1.5846728,1.5192337,1.4777015,1.4439744,1.4168749,1.3959891,1.3633687,1.3406714,1.3272786,1.3195281,1.2990474,1.2968897,1.2951066,1.2884744,1.28434,1.2725644,1.2716212,1.2563212,1.2560712,1.252776,1.2510309,1.2413374,1.2322086,1.229092,1.2296846,1.226052,1.222981,1.2298569,1.2322357,1.2169527,1.2152057,1.2106828,1.2055736,1.2027436,1.2162657,1.2015231,1.2024155,1.2006442,1.2092409,1.2019071,1.2060489,1.2020846,1.1948987,1.1945763,1.197301,1.1958594,1.1923285,1.193265,1.1919027,
Linear(Region_Target),20,19.999975,19.999189,19.9925171,19.9812994,19.7240594,18.7424747,17.6412961,16.8947941,16.5821287,16.251597,15.7366469,15.8761917,15.7201435,15.7902143,15.613894,15.6513807,15.5857775,15.5667894,15.4432077,15.3839321,15.319232,15.0452382,15.2216449,14.9979964,14.6905891,14.3659991,14.169965,13.9334423,13.7835469,13.5574699,13.4293477,13.2805771,12.8858458,13.1676964,12.9462919,12.7692062,12.5929126,12.4385274,12.2703397,12.115715,11.8596173,11.6057191,11.2196644,10.8132007,10.875468,10.577818,10.3289063,10.0807674,9.8153805,9.672438,9.5295628,9.3776774,9.212328,9.0019784,8.8261166,8.9401155,8.7762919,8.5768398,8.3321496,8.0449362,7.9420926,7.7873741,7.6055599,7.4885693,7.2110164,7.0476793,7.1639759,6.9607134,6.7821049,6.6485716,6.4763297,6.3573377,6.2907822,6.1481787,6.0485404,5.8928681,5.7323913,5.6973862,5.5546125,5.4436288,5.3184722,5.1404931,4.9949856,4.8487088,4.734444,4.6405869,4.5461437,4.4045137,4.438817,4.3281934,4.3299438,4.2121102,4.1154363,4.0580342,3.8942684,3.8655518,3.8023253,3.7522392,3.6061127,
Random,20,20,19.9990708,19.9959241,19.989049,19.9143595,19.6229134,19.1648716,18.6824871,18.2618533,17.9326643,17.6891356,17.5215814,17.4030609,17.3160783,17.239585,17.180347,17.1262595,17.0683192,17.0032229,16.9197045,16.8587475,16.7937638,16.7246964,16.6558985,16.5936869,16.5442185,16.4933261,16.4311478,16.3585949,16.2965677,16.2291655,16.1742008,16.1312742,16.0912459,16.0425079,16.0016799,15.9563445,15.9085716,15.8613205,15.7892461,15.7167994,15.6527284,15.5922549,15.5619686,15.5404643,15.5107054,15.4674291,15.4239546,15.3847245,15.3380957,15.2964779,15.2456998,15.2037186,15.1669107,15.1307317,15.1004747,15.0756509,15.0502742,15.0294097,15.0176352,15.0090635,15.0040203,14.982524,14.9533199,14.959104,14.9408194,14.9294506,14.9083816,14.8879326,14.8769394,14.855618,14.8400666,14.8174862,14.8161646,14.7977357,14.772276,14.7429343,14.725612,14.7114445,14.7068579,14.6887221,14.6615469,14.6358787,14.6260939,14.6236159,14.605201,14.5900182,14.5792552,14.5556754,14.5304941,14.5039241,14.4792392,14.4623378,14.4587608,14.4257364,14.4034593,14.386633,14.3830351,14.3625124,
Log-Distance,20,20,20,19.9943418,19.9783597,19.7147975,18.803397,17.8095522,17.1977625,16.9219286,16.8350807,16.8024469,16.8251057,16.7886879,16.5444013,16.0548991,15.4239766,14.7303087,14.0545831,13.4198863,12.7541384,11.7819958,10.6576797,9.6275378,8.7362166,8.0291315,7.467881,7.0200785,6.582034,6.1346536,5.6657144,5.1996326,4.7958612,4.4290421,4.1121939,3.7920081,3.5053703,3.2633755,3.0247953,2.8380009,2.6679162,2.4951435,2.3435387,2.2094016,2.0859681,1.9866154,1.8933141,1.811477,1.741991,1.6845779,1.6314835,1.5830065,1.5499144,1.5011113,1.4977937,1.4396495,1.4276154,1.3961182,1.3824618,1.3574091,1.3556643,1.3373183,1.335048,1.3287634,1.3148589,1.3047324,1.2804167,1.2818038,1.2660116,1.2715028,1.2569746,1.265143,1.2458269,1.2408451,1.2373866,1.2374368,1.2362302,1.232845,1.2226728,1.2129379,1.2087903,1.2112989,1.2005387,1.2025474,1.2008321,1.2078848,1.1994752,1.1980045,1.1970237,1.1955006,1.192934,1.1900627,1.1874226,1.1841887,1.1819486,1.1807123,1.1817034,1.1931234,1.1884662,1.1980152,
Target-Based,20,20,19.9997209,19.9930627,19.9633552,19.4755214,17.4197864,14.3974824,11.3215756,8.5739624,6.7709652,6.1125913,6.4369898,7.1146038,7.8337894,8.4495504,9.0349164,9.3071796,10.0340121,10.3579879,10.8735507,11.0013985,11.0343319,10.7719159,10.3763637,9.9389703,9.5487097,9.2561,8.8892404,8.6813629,8.3886836,8.1873157,7.9066384,7.6744478,7.4849799,7.3716276,7.1854793,7.0043819,6.7835243,6.5460953,6.3564975,6.161569,5.9905779,5.8373003,5.6672858,5.4965045,5.3417042,5.2041722,5.0553047,4.9673424,4.8497908,4.7059153,4.5815837,4.4672704,4.3632534,4.2508807,4.1516567,4.0312531,3.9183738,3.8132394,3.7139175,3.5998929,3.5174467,3.395421,3.3242554,3.2284352,3.1618555,3.090929,2.9846092,2.8881687,2.8338396,2.7641085,2.6952612,2.6097284,2.5267686,2.4917816,2.4264634,2.3469766,2.280995,2.2402055,2.18098,2.1446219,2.1140251,2.0581486,2.0177262,1.9653646,1.9344205,1.904401,1.848557,1.7999987,1.7475238,1.6934412,1.6418442,1.6032777,1.5838468,1.5493956,1.5266405,1.4885172,1.4672964,1.431453,
Target-Region_10m,20,20,19.9995109,19.9917633,19.9655601,19.5067744,17.4621493,14.4508408,11.298172,8.4403435,6.5449746,5.8675352,5.5940297,5.3544296,4.9647199,4.6443657,4.4303207,4.3279096,4.1603535,3.8801305,3.5487504,3.2360343,3.0111079,2.8174396,2.6255659,2.4333319,2.2568374,2.1124973,1.9889357,1.8851809,1.7898708,1.696396,1.6174206,1.5534205,1.496457,1.4470645,1.3992541,1.3629215,1.3353235,1.3133188,1.2935136,1.2757454,1.2606448,1.2446864,1.2360542,1.2308514,1.2264409,1.2224078,1.2154396,1.2071338,1.2004297,1.1971243,1.1988928,1.1976766,1.1922987,1.1901363,1.1876363,1.1878901,1.1918327,1.1927031,1.1845988,1.1749442,1.1714874,1.1715104,1.170607,1.1708575,1.1706072,1.1712819,1.1728267,1.1749945,1.1743173,1.1692656,1.1668819,1.169127,1.1707854,1.1709188,1.167936,1.1641191,1.1628205,1.1669348,1.168314,1.1663859,1.1626829,1.1581115,1.155086,1.1545715,1.1555717,1.1576356,1.1592884,1.1585781,1.1568144,1.1559558,1.1533008,1.1516936,1.1518535,1.1551285,1.1560366,1.1533569,1.1521514,1.1536481,
Triangulation,20,20,19.9999132,19.9883195,19.9703918,19.5432511,17.5979175,15.0095711,13.4953708,12.5955137,12.5523076,12.4488995,12.4226997,12.3622345,12.2365464,12.2916833,12.305902,12.2350577,12.1375013,12.0043412,11.8857524,11.818915,11.7375218,11.6802975,11.6636286,11.6060533,11.6352182,11.649027,11.6218572,11.4870661,11.4025377,11.2748356,11.2124534,11.1250553,11.0777876,11.0577193,10.9995446,10.96525,10.9590469,10.8418946,10.7315368,10.699376,10.6163805,10.5808916,10.5474614,10.5442511,10.5741941,10.5334647,10.5163448,10.528775,10.4550387,10.3749366,10.3508234,10.2567542,10.2341801,10.2504293,10.2819026,10.2718905,10.2308018,10.228412,10.189071,10.1171157,10.0649299,10.0547245,10.034254,10.0584437,10.0582265,10.1217167,10.1157963,10.0087843,10.0101817,9.9590999,9.8831601,9.8983854,9.8580907,9.8491726,9.8659925,9.8190728,9.8595978,9.8325593,9.7358316,9.7327786,9.6986234,9.7536429,9.7424229,9.6962392,9.7058247,9.6724259,9.6164403,9.6100456,9.6032397,9.5920664,9.5500064,9.5561375,9.5638844,9.5233257,9.4827659,9.4380043,9.4014188,9.3212721,
